param,median,mean,sd,p2.5,p97.5,ess
mu(%),0.15892935801659833,0.1517121920221783,0.017888141570118556,0.13470589403074176,0.18006479408607992,26.210820830047588
sigma(%),3.104496901581672,3.0983021494108134,0.026155283279047602,3.065104711978572,3.139180140731282,25.99043769030925
nu,7.369051138071048,7.3519853233264225,0.07979252940180104,7.275882234543809,7.452966291008712,26.586598943604905
